代碼,學校名稱,公私立別,縣市名稱,地址,電話,網址,備註
311401,私立育達家商,私立,[31]臺北市,[105]臺北市松山區美仁里寧安街12號,(02)25706767,http://www.yudah.tp.edu.tw,
313301,市立西松高中,公立,[31]臺北市,[105]臺北市松山區鵬程里健康路325巷7號,(02)25286618,http://www.hssh.tp.edu.tw,
313302,市立中崙高中,公立,[31]臺北市,[105]臺北市松山區八德路四段101號,(02)27535316,http://www.zlsh.tp.edu.tw/,
321399,臺北市私立協和祐德高級中學,私立,[32]臺北市,[110]臺北市信義區忠孝東路5段790巷27號,(02)27263131,http://www.hhvs.tp.edu.tw/,
323301,市立松山高中,公立,[32]臺北市,[110]臺北市信義區基隆路一段156號,(02)27535968,http://www.sssh.tp.edu.tw,
323302,市立永春高中,公立,[32]臺北市,[110]臺北市信義區松隆里松山路654號,(02)27272983,http://www.ycsh.tp.edu.tw,
323401,市立松山家商,公立,[32]臺北市,[110]臺北市信義區松山路655號,(02)27261118,http://www.ssvs.tp.edu.tw,
323402,市立松山工農,公立,[32]臺北市,[110]臺北市信義區忠孝東路5段236巷15號,(02)27226616,http://www.saihs.edu.tw,
330301,國立師大附中,公立,[33]臺北市,[106]臺北市大安區和安里信義路3段143號,(02)27075215,http://www.hs.ntnu.edu.tw,
331301,私立延平中學,私立,[33]臺北市,[106]臺北市大安區和安里建國南路1段275號,(02)27071478,http://www.yphs.tp.edu.tw,
331302,私立金甌女中,私立,[33]臺北市,[106]臺北市大安區光明里杭州南路2段1號,(02)23214765,http://www.cogsh.tp.edu.tw,
331304,私立復興實驗高中,私立,[33]臺北市,[106]臺北市大安區敦化南路1段262 號,(02)27715859,http://www.fhjh.tp.edu.tw,
331402,私立東方工商,私立,[33]臺北市,[106]臺北市大安區信義路四段186巷8號,(02)27554616,http://www.tfvs.tp.edu.tw,
331403,私立喬治工商,私立,[33]臺北市,[106]臺北市大安區基隆路2段172號,(02)27386515,http://www.gvs.tp.edu.tw,
331404,私立開平餐飲,私立,[33]臺北市,[106]臺北市大安區復興南路2段148巷24號,(02)27556939,http://www.kpvs.tp.edu.tw,
333301,市立和平高中,公立,[33]臺北市,[106]臺北市大安區芳和里臥龍街100號,(02)27324300,http://www.hpsh.tp.edu.tw,
333401,市立大安高工,公立,[33]臺北市,[106]臺北市大安區龍圖里復興南路2段52號,(02)27091630,http://www.taivs.tp.edu.tw,
341301,私立中興中學,私立,[34]臺北市,[104]臺北市中山區力行里朱崙街42號,(02)27412542,http://www.chsh.tp.edu.tw,
341302,私立大同高中,私立,[34]臺北市,[104]臺北市中山區聚英里中山北路3段40號,(02)25925252,http://www.tsh.ttu.edu.tw,
341402,私立稻江護家,私立,[34]臺北市,[104]臺北市中山區新生北路三段55號,(02)25955161,http://www.tcnvs.tp.edu.tw,
343301,市立中山女中,公立,[34]臺北市,[104]臺北市中山區力行里長安東路2段141號,(02)25073148,http://www.csghs.tp.edu.tw,
343302,市立大同高中,公立,[34]臺北市,[104]臺北市中山區中央里長春路167號,(02)25054269,http://www.ttsh.tp.edu.tw,
343303,市立大直高中,公立,[34]臺北市,[104]臺北市中山區劍潭里北安路420號,(02)25334017,http://www.dcsh.tp.edu.tw,
351301,私立強恕中學,私立,[35]臺北市,[100]臺北市中正區板溪里汀州路二段143號,(02)23656574,http://www.qshs.tp.edu.tw,
351402,私立開南商工,私立,[35]臺北市,[100]臺北市中正區東門里濟南路1段6號,(02)23212666,http://www.knvs.tp.edu.tw,
353301,市立建國中學,公立,[35]臺北市,[100]臺北市中正區龍光里南海路56號,(02)23034381,http://www.ck.tp.edu.tw,
353302,市立成功中學,公立,[35]臺北市,[100]臺北市中正區幸福里濟南路1段71號,(02)23216256,http://www.cksh.tp.edu.tw,
353303,市立北一女中,公立,[35]臺北市,[100]臺北市中正區黎明里重慶南路1段165號,(02)23820484,http://www.fg.tp.edu.tw,
361301,私立靜修女中,私立,[36]臺北市,[103]臺北市大同區雙連里寧夏路59號,(02)25574345,http://www.bish.tp.edu.tw,
361401,私立稻江高商,私立,[36]臺北市,[103]臺北市大同區國昌里民權西路225巷24號,(02)25912001,http://www.tkcvs.tp.edu.tw,
363301,市立明倫高中,公立,[36]臺北市,[103]臺北市大同區保安里承德路3段336號,(02)25961567,http://www.mlsh.tp.edu.tw,
363302,市立成淵高中,公立,[36]臺北市,[103]臺北市大同區承德路二段235號,(02)25531969,http://www.cyhs.tp.edu.tw,
371301,私立立人高中,私立,[37]臺北市,[108]臺北市萬華區桂林路171號,(02)23113423,http://www.lrsh.tp.edu.tw,
373301,市立華江高中,公立,[37]臺北市,[108]臺北市萬華區日善里西藏路213號,(02)23019946,http://www.hcsh.tp.edu.tw,
373302,市立大理高中,公立,[37]臺北市,[108]臺北市萬華區綠堤里長順街2號,(02)23026959,http://newweb.tlsh.tp.edu.tw/,
380301,國立政大附中,公立,[38]臺北市,[116]臺北市文山區政大一街353號,(02)82377500,http://www.chahs.nccu.edu.tw,
381301,私立東山高中,私立,[38]臺北市,[116]臺北市文山區老泉里老泉街26巷3號,(02)29395826,http://www.tshs.tp.edu.tw,
381302,私立滬江高中,私立,[38]臺北市,[116]臺北市文山區景美里羅斯福路6段336號,(02)86631122,http://www.hchs.tp.edu.tw,
381303,私立大誠高中,私立,[38]臺北市,[116]臺北市文山區萬興里秀明路2段175號,(02)22348989,http://www.tcsh.tp.edu.tw,
381304,私立再興中學,私立,[38]臺北市,[116]臺北市文山區明義里興隆路4段2號,(02)29366803,http://www.thsh.tp.edu.tw,
381305,私立景文高中,私立,[38]臺北市,[116]臺北市文山區木新里保儀路127號,(02)29390310,http://www.jwsh.tp.edu.tw,
383301,市立景美女中,公立,[38]臺北市,[116]臺北市文山區樟新里木新路3段312號,(02)29368847,http://www.cmgsh.tp.edu.tw,
383302,市立萬芳高中,公立,[38]臺北市,[116]臺北市文山區興隆路3段115巷1號,(02)22309585,http://www.wfsh.tp.edu.tw,
383401,市立木柵高工,公立,[38]臺北市,[116]臺北市文山區萬芳里木柵路4段77號,(02)22300506,http://www.mcvs.tp.edu.tw,
393301,市立南港高中,公立,[39]臺北市,[115]臺北市南港區西新里向陽路21號,(02)27837863,http://www.nksh.tp.edu.tw,
393302,市立育成高中,公立,[39]臺北市,[115]臺北市南港區重陽路366號,(02)26530475,http://www.yucsh.tp.edu.tw,
393401,市立南港高工,公立,[39]臺北市,[115]臺北市南港區南港里興中路29號,(02)27825432,http://www.nkhs.tp.edu.tw,
401301,私立文德女中,私立,[40]臺北市,[114]臺北市內湖區紫陽里成功路3段70號,(02)27904570,http://www.sfgsh.tp.edu.tw,
401302,私立方濟中學,私立,[40]臺北市,[114]臺北市內湖區紫星里成功路三段61號,(02)27910278,http://www.sfh.tp.edu.tw,
401303,私立達人女中,私立,[40]臺北市,[114]臺北市內湖區湖濱里內湖路2段314號,(02)27956899,http://www.trgsh.tp.edu.tw,
403301,市立內湖高中,公立,[40]臺北市,[114]臺北市內湖區紫陽里文德路218號,(02)27977035,http://www.nhsh.tp.edu.tw,
403302,市立麗山高中,公立,[40]臺北市,[114]臺北市內湖區環山路二段100號,(02)26570435,http://www.lssh.tp.edu.tw,
403303,市立南湖高中,公立,[40]臺北市,[114]臺北市內湖區康寧路三段220號,(02)26308889,http://www.nhush.tp.edu.tw,
403401,市立內湖高工,公立,[40]臺北市,[114]臺北市內湖區港墘里內湖路1段520號,(02)26574874,http://www.nihs.tp.edu.tw,
411301,私立泰北高中,私立,[41]臺北市,[111]臺北市士林區福林里福林路240號,(02)28825560,http://www.tpsh.tp.edu.tw,
411302,私立衛理女中,私立,[41]臺北市,[111]臺北市士林區翠山里至善路2段321號,(02)28411487,http://www.wlgsh.tp.edu.tw,
411303,私立華興中學,私立,[41]臺北市,[111]臺北市士林區芝山里仰德大道1段101號,(02)28316834,http://www.hhhs.tp.edu.tw,
411401,私立華岡藝校,私立,[41]臺北市,[111]臺北市士林區建業路73巷8號,(02)28612354,http://www.hka.edu.tw,
413301,市立陽明高中,公立,[41]臺北市,[111]臺北市士林區後港里中正路510號,(02)28316675,http://www.ymsh.tp.edu.tw,
413302,市立百齡高中,公立,[41]臺北市,[111]臺北市士林區義信里承德路4段177號,(02)28831568,http://www.blsh.tp.edu.tw,
413401,市立士林高商,公立,[41]臺北市,[111]臺北市士林區後港里士商路150號,(02)28313114,http://www.slhs.tp.edu.tw,
421301,私立薇閣高中,私立,[42]臺北市,[112]臺北市北投區中心里珠海路50號,(02)28925332,http://www.wghs.tp.edu.tw,
421302,私立十信高中,私立,[42]臺北市,[112]臺北市北投區北投路二段55號,(02)28921166,http://www.shvs.tp.edu.tw,
421303,臺北市私立奎山實驗高級中學,私立,[42]臺北市,[112]臺北市北投區榮華里明德路200號,(02)28212009,http://www.ksjh.tp.edu.tw,
421404,私立惇敘工商,私立,[42]臺北市,[112]臺北市北投區泉源路221號,(02)28912630,http://www.thvs.tp.edu.tw,
423301,市立復興高中,公立,[42]臺北市,[112]臺北市北投區復興四路70號,(02)28914131,http://www.fhsh.tp.edu.tw,
423302,市立中正高中,公立,[42]臺北市,[112]臺北市北投區文林北路77號,(02)28234811,http://www.ccsh.tp.edu.tw,
351B09,私立南華高中進修學校,私立,[35]臺北市,[100]臺北市中正區富水里汀州路3段58號,(02)23686818,http://www.nhwsh.tp.edu.tw,
361B09,私立志仁中學進修學校,私立,[36]臺北市,[103]臺北市大同區建泰里南京西路64巷17號,(02)25551656,http://www.cjvs.tp.edu.tw,
313501,市立介壽國中,公立,[31]臺北市,[105]臺北市松山區介壽里延壽街401號,(02)27674496,http://www.csjh.tp.edu.tw,
313502,市立民生國中,公立,[31]臺北市,[105]臺北市松山區新東里新東街30巷1號,(02)27653433,http://www.msjh.tp.edu.tw,
313504,市立中山國中,公立,[31]臺北市,[105]臺北市松山區復興北路361巷7號,(02)27126701,http://www.csjhs.tp.edu.tw,
313505,市立敦化國中,公立,[31]臺北市,[105]臺北市松山區南京東路三段300號,(02)87717890,http://www.thjh.tp.edu.tw,
323502,市立興雅國中,公立,[32]臺北市,[110]臺北市信義區松德路168巷15號,(02)27232771,http://www.syajh.tp.edu.tw,
323503,市立永吉國中,公立,[32]臺北市,[110]臺北市信義區四育里8鄰松隆路161號,(02)27649066,http://www.yjjh.tp.edu.tw,
323504,市立瑠公國中,公立,[32]臺北市,[110]臺北市信義區福德街221巷15號,(02)27261481,http://www.lkjh.tp.edu.tw,
323505,市立信義國中,公立,[32]臺北市,[110]臺北市信義區松仁路158巷1號,(02)27236771,http://www.syijh.tp.edu.tw,
331502,私立立人國中(小),私立,[33]臺北市,[106]臺北市大安區義榮里安和路二段99號,(02)27381188,http://www.ljjhps.tp.edu.tw,
333501,市立仁愛國中,公立,[33]臺北市,[106]臺北市大安區敦安里仁愛路4段130號,(02)23255823,http://www.jajh.tp.edu.tw,
333502,市立大安國中,公立,[33]臺北市,[106]臺北市大安區大安路2段63號,(02)27557131,http://www.tajh.tp.edu.tw,
333504,市立芳和國中,公立,[33]臺北市,[106]臺北市大安區芳和里臥龍街170號,(02)27321961,http://www.fhjhs.tp.edu.tw,
333505,市立金華國中,公立,[33]臺北市,[106]臺北市大安區福住里新生南路二段32號,(02)33931799,http://www.chwjh.tp.edu.tw,
333506,市立懷生國中,公立,[33]臺北市,[106]臺北市大安區忠孝東路三段248巷30號,(02)27215078,http://www.hsjh.tp.edu.tw,
333507,市立民族國中,公立,[33]臺北市,[106]臺北市大安區羅斯福路四段113巷13號,(02)27322935,http://www.mtjh.tp.edu.tw,
333508,市立龍門國中,公立,[33]臺北市,[106]臺北市大安區建國南路二段269號,(02)27330299,http://www.lmjh.tp.edu.tw,
343502,市立長安國中,公立,[34]臺北市,[104]臺北市中山區興亞里松江路70巷11號,(02)25112382,http://www.cajh.tp.edu.tw,
343504,市立北安國中,公立,[34]臺北市,[104]臺北市中山區劍潭里明水路325號,(02)25333888,http://www.pajh.tp.edu.tw,
343505,市立新興國中,公立,[34]臺北市,[104]臺北市中山區聚葉里林森北路511號,(02)25714211,http://www.hhjh.tp.edu.tw/,
343506,市立五常國中,公立,[34]臺北市,[104]臺北市中山區下埤里復興北路430巷1號,(02)25014320,http://www.wcjhs.tp.edu.tw,
343507,市立濱江國中,公立,[34]臺北市,[104]臺北市中山區樂群二路262號,(02)85020126,http://www.bjjh.tp.edu.tw,
353501,市立螢橋國中,公立,[35]臺北市,[100]臺北市中正區林興里汀州路三段4號,(02)23688667,http://www.ycjh.tp.edu.tw,
353502,市立古亭國中,公立,[35]臺北市,[100]臺北市中正區中華路二段465號,(02)23090986,http://www.ktjh.tp.edu.tw,
353503,市立南門國中,公立,[35]臺北市,[100]臺北市中正區南門里廣州街6號,(02)23142775,http://www.nmjh.tp.edu.tw,
353504,市立弘道國中,公立,[35]臺北市,[100]臺北市中正區公園路21號,(02)23715520,http://www.htjh.tp.edu.tw,
353505,市立中正國中,公立,[35]臺北市,[100]臺北市中正區新營里愛國東路158號,(02)23916697,http://www.ccjhs.tp.edu.tw,
363501,市立建成國中,公立,[36]臺北市,[103]臺北市大同區長安西路37之1號,(02)25587042,http://www.jcjh.tp.edu.tw,
363502,市立忠孝國中,公立,[36]臺北市,[103]臺北市大同區玉泉里西寧北路32號,(02)25524890,http://www.chjh.tp.edu.tw,
363504,市立民權國中,公立,[36]臺北市,[103]臺北市大同區重慶北路三段1號,(02)25931951,http://www.mqjh.tp.edu.tw,
363506,市立蘭州國中,公立,[36]臺北市,[103]臺北市大同區至聖里大龍街187巷1號,(02)25918269,http://www.lcjh.tp.edu.tw,
363507,市立重慶國中,公立,[36]臺北市,[103]臺北市大同區重慶里敦煌路19號,(02)25948631,http://www.cchs.tp.edu.tw,
373501,市立萬華國中,公立,[37]臺北市,[108]臺北市萬華區日善里西藏路201號,(02)23394567,http://www.whjhs.tp.edu.tw,
373503,市立雙園國中,公立,[37]臺北市,[108]臺北市萬華區和德里興義街2號,(02)23030827,http://www.syjhs.tp.edu.tw,
373505,市立龍山國中,公立,[37]臺北市,[108]臺北市萬華區富裕里南寧路46號,(02)23362789,http://www.lsjh.tp.edu.tw,
381501,私立靜心國中,私立,[38]臺北市,[116]臺北市文山區興福里興隆路二段46號,(02)29323118,http://www.chjhs.tp.edu.tw,
383501,市立木柵國中,公立,[38]臺北市,[116]臺北市文山區木柵路三段102巷12號,(02)29393031,http://www.mcjhs.tp.edu.tw,
383502,市立實踐國中,公立,[38]臺北市,[116]臺北市文山區樟林里辛亥路七段67號,(02)22362852,http://www.sjjh.tp.edu.tw,
383503,市立北政國中,公立,[38]臺北市,[116]臺北市文山區指南里指南路三段2巷14號,(02)29393651,http://www.pcjh.tp.edu.tw,
383504,市立景美國中,公立,[38]臺北市,[116]臺北市文山區景華里景中街27號,(02)89353130,http://www.cmjh.tp.edu.tw,
383505,市立興福國中,公立,[38]臺北市,[116]臺北市文山區興旺里福興路80號,(02)29322024,http://www.hfjh.tp.edu.tw,
383507,市立景興國中,公立,[38]臺北市,[116]臺北市文山區景華里景興路46巷2號,(02)29323794,http://www.chhs.tp.edu.tw,
393501,市立誠正國中,公立,[39]臺北市,[115]臺北市南港區新富里富康街1巷24號,(02)27828094,http://163.21.132.5,
393503,市立成德國中,公立,[39]臺北市,[115]臺北市南港區成福里東新街108巷23號,(02)26515635,http://www.cdjh.tp.edu.tw,
403501,市立內湖國中,公立,[40]臺北市,[114]臺北市內湖區紫陽里陽光街1號,(02)27900843,http://www.nhjh.tp.edu.tw,
403502,市立麗山國中,公立,[40]臺北市,[114]臺北市內湖區內湖路一段629巷42號,(02)27991867,http://www.lsjhs.tp.edu.tw,
403503,市立三民國中,公立,[40]臺北市,[114]臺北市內湖區湖興里民權東路6段45號,(02)27924772,http://www.smjh.tp.edu.tw,
403504,市立西湖國中,公立,[40]臺北市,[114]臺北市內湖區西湖里環山路一段27號,(02)27991817,http://www.xhjhs.tp.edu.tw,
403505,市立東湖國中,公立,[40]臺北市,[114]臺北市內湖區樂康里康樂街131號,(02)26330373,http://www.dhjh.tp.edu.tw,
403506,市立明湖國中,公立,[40]臺北市,[114]臺北市內湖區葫洲里康寧路三段60號,(02)26320616,http://www.mhjh.tp.edu.tw,
413501,市立士林國中,公立,[41]臺北市,[111]臺北市士林區福德里中正路345號,(02)88613411,http://www.sljh.tp.edu.tw,
413502,市立蘭雅國中,公立,[41]臺北市,[111]臺北市士林區三玉里忠誠路二段51號,(02)28329377,http://163.21.26.20/enable01/,
413504,市立至善國中,公立,[41]臺北市,[111]臺北市士林區臨溪里至善路二段360號,(02)28411350,http://www.jsjh.tp.edu.tw,
413505,市立格致國中,公立,[41]臺北市,[111]臺北市士林區陽明里仰德大道四段75號,(02)28610079,http://www.gjjh.tp.edu.tw,
413506,市立福安國中,公立,[41]臺北市,[111]臺北市士林區福安里延平北路七段250號,(02)28108766,http://www.fajh.tp.edu.tw,
413508,市立天母國中,公立,[41]臺北市,[111]臺北市士林區天和里天母東路120號,(02)28754864,http://www.tmjh.tp.edu.tw,
423501,市立北投國中,公立,[42]臺北市,[112]臺北市北投區溫泉里溫泉路62號,(02)28912091,http://www.ptjh.tp.edu.tw,
423502,市立新民國中,公立,[42]臺北市,[112]臺北市北投區林泉里新民路10號,(02)28979001,http://www.hmjh.tp.edu.tw,
423503,市立明德國中,公立,[42]臺北市,[112]臺北市北投區建民里明德路50號,(02)28232539,http://www.mdjh.tp.edu.tw,
423504,市立桃源國中,公立,[42]臺北市,[112]臺北市北投區一德里中央北路四段48號,(02)28929633,http://www.tyjh.tp.edu.tw,
423505,市立石牌國中,公立,[42]臺北市,[112]臺北市北投區吉利里石牌路一段139號,(02)28224682,http://www.spjh.tp.edu.tw,
423506,市立關渡國中,公立,[42]臺北市,[112]臺北市北投區關渡里知行路212號,(02)28581770,http://www.ktjhs.tp.edu.tw,
313601,市立松山國小,公立,[31]臺北市,[105]臺北市松山區八德路四段746號,(02)27672907,http://web.ssps.tp.edu.tw,
313602,市立西松國小,公立,[31]臺北市,[105]臺北市松山區東光里三民路5號,(02)27609221,http://www.sups.tp.edu.tw,
313604,市立敦化國小,公立,[31]臺北市,[105]臺北市松山區中正里敦化北路2號,(02)27414065,http://www.thps.tp.edu.tw,
313605,市立民生國小,公立,[31]臺北市,[105]臺北市松山區敦化北路199巷18號,(02)27122452,http://www.msps.tp.edu.tw,
313606,市立民權國小,公立,[31]臺北市,[105]臺北市松山區民權東路四段200號,(02)27652327,http://www.mcps.tp.edu.tw,
313607,市立民族國小,公立,[31]臺北市,[105]臺北市松山區民生東路4段97巷7號,(02)27124872,http://epage.mces.tp.edu.tw/bin/home.php,
313608,市立三民國小,公立,[31]臺北市,[105]臺北市松山區莊敬里民權東路五段1號,(02)27646080,http://www.smps.tp.edu.tw,
313609,市立健康國小,公立,[31]臺北市,[105]臺北市松山區延壽街168號,(02)25282814,http://www.jkes.tp.edu.tw,
323601,市立興雅國小,公立,[32]臺北市,[110]臺北市信義區雅祥里基隆路1段83巷9號,(02)27618156,http://www.hyps.tp.edu.tw,
323602,市立永春國小,公立,[32]臺北市,[110]臺北市信義區永春里松山路225巷48號,(02)27641314,http://www.ycps.tp.edu.tw,
